filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,DISORDER,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,dataset
HIQKID_clean,6.24462,3.8099,6.24462,2.75365,1288.14,467.793,0.0,0.0,0.511,0.185572,7.26e-05,U,No, ,clean,Y,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
QUTTII01_clean,5.86223,4.35313,5.84737,1.55825,1478.82,949.028,0.0,0.0,0.4966,0.31869,0.0,Co,Yes,Co,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
OTEGUR_clean,7.28809,7.1769,7.28809,1.35972,1613.99,1187.0,0.0,0.0,0.5986,0.440239,0.0,In,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
FIMNIA_clean,8.67616,3.56541,8.61027,1.50156,1522.94,1014.24,0.0,0.0,0.6126,0.407975,0.0,Ag,Yes,Ag,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
LATCEO_clean,5.87388,4.8832,5.87388,1.09727,2738.31,2495.57,0.0,0.0,0.732,0.667111,0.0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
DUWRIY_clean,4.48859,3.17824,4.47475,1.30596,0.0,0.0,636.381,487.29,0.5372,0.411346,0.0,Mg,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
PUQYAC_clean,5.36415,5.07421,5.36415,1.50028,235.559,157.01,320.725,213.777,0.4614,0.307543,0.0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
TAHNEY_clean,10.9331,7.2387,10.84031,1.02563,2322.37,2264.33,0.0472135,0.0460334,0.7992,0.779225,0.0,"W,Cu",Yes,Cu,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
MOGNAY_clean,5.98746,4.8264,5.9716,1.48355,1468.56,989.896,0.0,0.0,0.5258,0.35442,0.0,Tb,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
CAKFEB_clean,3.65255,2.91792,3.64481,1.9175,0.0,0.0,43.5525,22.7131,0.3714,0.193689,0.0,Gd,Yes,Gd,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
HOMXIR_manual,23.70226,22.8547,23.70226,0.394433,1769.36,4485.82,0.0,0.0,0.844,2.13978,0.0,Zn,No, ,manual,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
LEGGOU_clean,4.37373,2.43151,4.358,1.63905,0.0,0.0,226.057,137.919,0.4444,0.271133,0.0,Zn,Yes,Zn,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
GOXMEN_clean,5.02477,2.84713,3.58468,1.34483,0.0,0.0,265.483,197.411,0.4038,0.300261,0.0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
FALZOI_clean,10.25755,2.58045,10.25755,0.961037,0.0,0.0,1775.13,1847.1,0.6626,0.689464,0.0,"Na,Al",No, ,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
ZIQVAY_clean,8.56153,4.50798,8.56153,2.05613,1364.45,663.603,0.0,0.0,0.4994,0.242884,0.0,Cd,Yes,Cd,clean,N,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
XOJPIW_charged,8.62622,7.92037,8.61331,1.10762,1164.73,1051.56,0.0,0.0,0.5836,0.526895,0.0,Ag,Yes,Ag,charged,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
cg900349c_si_002_clean,6.40104,2.85131,6.40104,1.46941,0.0,0.0,1014.19,690.2,0.5798,0.39458,0.0,Zn,No, ,clean,Y,N,Y,,Y,BUCXUT,Y,27/03/2009,10.1021/cg900349c,"1 SI, 2 Structure",BUCXUT,BUCXUT,CoRE-MOF-2019-ASR
COMGUH_clean,4.79077,2.48027,4.79077,1.95837,0.0,0.0,153.038,78.1456,0.338,0.172592,0.0,"Cd,Na",Yes,"Cd,Na",clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
SOKWAS01_clean,5.31439,4.17423,5.31439,1.94035,1774.06,914.299,0.0,0.0,0.5988,0.308604,0.0,U,Yes,U,clean,N,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
WIDTAF_clean,4.24329,3.2471,4.13637,1.66166,0.0,0.0,338.094,203.468,0.4088,0.246019,0.0,Zn,Yes,Zn,clean,N,Y,Y,DISORDER,N,,,,,,,,CoRE-MOF-2019-ASR
DOPHOH_clean,12.12577,5.64086,12.12577,0.985409,1409.44,1430.31,390.474,396.256,0.664,0.673832,0.0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
DUNJON_clean,5.13321,3.70024,5.11248,2.82249,688.218,243.833,0.0,0.0,0.4132,0.146395,0.0,"W,Co",Yes,"W,Co",clean,Y,Y,Y,,N,,,,,,,,CoRE-MOF-2019-ASR
