dataset,filename,formula,reduced_formula,num_atoms,num_elements,elements,density_g_cm3,volume_A3,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,is_cubic,is_orthorhombic,metal_fraction,has_metal,organic_fraction,halogen_fraction,void_fraction_estimate,mass_amu,frac_C,frac_H,frac_O,frac_N,frac_Zn,frac_Cu,frac_Fe,frac_Co,frac_Ni,frac_F,frac_Cl,frac_Br
CoRE-COFs_1242-v7.0,1.cif,H86 C90 N6 O4,H43C45N3O2,186,4,C_H_N_O,0.9700057827850671,2252.3000639089682,23.624499999999998,24.892200000000003,4.4791,90.1844,97.59220000000002,120.0619,False,False,0.0,False,1.0,0.0,0.5149971086074665,1315.6836399999997,0.4838709677419355,0.46236559139784944,0.021505376344086023,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,10.cif,H40 C58 N8,H20C29N4,106,3,C_H_N,0.30787175817537876,4579.12756092955,15.1435,15.1435,19.9678,90.0,90.0,90.0,False,True,0.0,False,1.0,0.0,0.8460641209123106,848.9917999999999,0.5471698113207547,0.37735849056603776,0.0,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,100.cif,B6 H36 C42 O12,BH6C7O2,96,4,B_C_H_O,0.8056981454264515,1643.8365560053815,21.5042,21.5042,4.1047,90.0,90.0,120.00000000000001,False,False,0.0,False,0.9375,0.0,0.5971509272867743,797.59404,0.4375,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1000.cif,H36 C42 N6 O6,H6C7NO,90,4,C_H_N_O,0.6773748641231437,1766.9238459958106,23.091,23.091000000000005,3.8265,90.0,90.0,119.99999999999999,False,False,0.0,False,1.0,0.0,0.6613125679384282,720.77184,0.4666666666666667,0.4,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1001.cif,H144 C216 N18,H8C12N,378,3,C_H_N,0.5499974658903558,9032.09148927409,33.2557,33.2557,9.4303,90.0,90.0,119.99999999999999,False,False,0.0,False,1.0,0.0,0.725001267054822,2991.5751600000003,0.5714285714285714,0.38095238095238093,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1002.cif,H64 C92 N12,H16C23N3,168,3,C_H_N,1.419265239623293,1564.9591743686326,22.4674,16.3829,4.2789,90.0,83.53249999999998,90.0,False,False,0.0,False,1.0,0.0,0.2903673801883535,1337.5729600000002,0.5476190476190477,0.38095238095238093,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1003.cif,H126 C198 N36,H7C11N2,360,3,C_H_N,0.6079920167791184,8219.121490192063,36.8758,36.8758,6.9793,90.0,90.0,119.99999999999999,False,False,0.0,False,1.0,0.0,0.6960039916104408,3009.3602399999995,0.55,0.35,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1004.cif,H68 C112 N8,H17(C14N)2,188,3,C_H_N,1.6564236071509952,1529.5828212447702,16.4705,30.7826,3.0169,90.0,90.0,90.0,False,True,0.0,False,0.9999999999999999,0.0,0.17178819642450238,1525.79192,0.5957446808510638,0.3617021276595745,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1005.cif,H28 C42 N4,H14C21N2,74,3,C_H_N,1.2033579548986175,812.357526948613,6.3319,15.0036,8.5603,90.0,92.66880000000002,90.0,False,False,0.0,False,1.0,0.0,0.39832102255069124,588.6985199999999,0.5675675675675675,0.3783783783783784,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1006.cif,H135 C189 N45,H15C21N5,369,3,C_H_N,0.5475272838667579,9208.771575623776,33.5568,33.5568,9.443,90.0,90.0,119.99999999999999,False,False,0.0,False,1.0,0.0,0.7262363580666211,3036.3957,0.5121951219512195,0.36585365853658536,0.0,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1007.cif,H60 C88 N16,H15(C11N2)2,164,3,C_H_N,1.1643103910837098,1913.282766863631,4.5582,17.3644,24.2215,90.0,93.63590000000002,90.0,False,False,0.0,False,1.0,0.0,0.4178448044581451,1341.5252,0.5365853658536586,0.36585365853658536,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRE-COFs_1242-v7.0,1008.cif,H117 C189 N45,H13C21N5,351,3,C_H_N,0.4996864764851162,10030.142693316791,33.2774,33.2774,10.4587,90.0,90.0,119.99999999999999,False,False,0.0,False,1.0,0.0,0.7501567617574418,3018.2527800000003,0.5384615384615384,0.3333333333333333,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
